id,address,label,input_confidence
dc_399,"3248 N ST NW, WASHINGTON, DC 20007",DC,high
dc_400,"325 7TH ST NW, WASHINGTON, DC 20004",DC,high
dc_401,"325 P ST SW, WASHINGTON, DC 20024",DC,high
dc_402,"3250 N ST NW, WASHINGTON, DC 20007",DC,high
dc_403,"3254 M ST NW, WASHINGTON, DC 20007",DC,high
dc_404,3270 M ST NW,DC,medium
dc_405,"330 PENNSYLVANIA AVE SE, WASHINGTON, DC 20003",DC,high
dc_406,"3300 BENNING RD NE, WASHINGTON, DC 20019",DC,high
dc_407,"3307 14TH ST NW FLOOR 1, WASHINGTON, DC 20010",DC,high
dc_408,"3317 9TH ST NE, WASHINGTON, DC 20017",DC,high
dc_409,"3320 N ST NW, WASHINGTON, DC 20007",DC,high
dc_410,"3330 NEW YORK AVE NE, WASHINGTON, DC 20002",DC,high
dc_411,"3333 - 3323 WISCONSIN AVE NW, WASHINGTON, DC 20016",DC,high
dc_412,"3355 BAKER ST NE, WASHINGTON, DC 20019",DC,high
dc_413,"3355 BENNING RD NE, WASHINGTON, DC 20019",DC,high
dc_414,"3375 MINNESOTA AVE SE, WASHINGTON, DC 20019",DC,high
dc_415,"3402 22ND ST SE, WASHINGTON, DC 20020",DC,high
dc_416,"3470 23RD ST SE, WASHINGTON, DC 20020",DC,high
dc_417,"3500 R ST NW, WASHINGTON, DC 20007",DC,high
dc_418,"3501 RITTENHOUSE ST NW, WASHINGTON, DC 20015",DC,high
dc_419,"3502 JOHN MCCORMACK RD NE, WASHINGTON, DC 20064",DC,high
dc_420,"3520 VAN NESS ST NW, WASHINGTON, DC 20008",DC,high
dc_421,"355 E ST SW, WASHINGTON, DC 20024",DC,high
dc_422,"3600 NEW YORK AVE NE, WASHINGTON, DC 20002",DC,high
dc_423,3606 JOHN MCCORMACK DR NE,DC,medium
dc_424,"3620 16TH ST NW, WASHINGTON, DC 20010",DC,high
dc_425,"3621 BENNING RD NE, WASHINGTON, DC 20019",DC,high
dc_426,"3633 EVERETT ST NW, WASHINGTON, DC 20008",DC,high
dc_427,"3675 ELY PL SE, WASHINGTON, DC 20019",DC,high
dc_428,"3700 9TH ST SE, WASHINGTON, DC 20032",DC,high
dc_429,"3700 O ST NW, WASHINGTON, DC 20057",DC,high
dc_430,"3701 12TH ST NE, WASHINGTON, DC 20017",DC,high
dc_431,"3701 MASSACHUSETTS AVE NW, WASHINGTON, DC 20016",DC,high
dc_432,"3703 COMMODORE JOSHUA BARNEY DR NE, WASHINGTON, DC 20018",DC,high
dc_433,"3703 HANSBERRY CT NE, WASHINGTON, DC 20018",DC,high
dc_434,"3710 MINNESOTA AVE NE, WASHINGTON, DC 20019",DC,high
dc_435,"3726 CONNECTICUT AVE NW, WASHINGTON, DC 20008",DC,high
dc_436,"3726 MARTIN LUTHER KING JR AVE SE, WASHINGTON, DC 20032",DC,high
dc_437,"3733 - 3743 D ST SE, WASHINGTON, DC 20019",DC,high
dc_438,"3733 D ST SE, WASHINGTON, DC 20019",DC,high
dc_439,"375 E ST SW, WASHINGTON, DC 20024",DC,high
dc_440,"3750 FOOTE ST NE, WASHINGTON, DC 20019",DC,high
dc_441,"3750 JAMISON ST NE, WASHINGTON, DC 20018",DC,high
dc_442,"3800 RESEVOIR RD NW, WASHINGTON, DC",DC,medium
dc_443,"3801 CONNECTICUT AVE NW, WASHINGTON, DC 20008",DC,high
dc_444,"3825 ALABAMA AVE SE, WASHINGTON, DC 20020",DC,high
dc_445,"3828 GEORGIA AVE NW, WASHINGTON, DC 20011",DC,high
dc_446,"3830 GEORGIA AVE NW, WASHINGTON, DC 20011",DC,high
dc_447,"3850 SOUTH CAPITOL ST SE, WASHINGTON, DC",DC,medium
dc_448,"391 MICHIGAN AVE NE, WASHINGTON, DC 20017",DC,high
dc_449,"3927 - 3959 PENNSYLVANIA AVE SE, WASHINGTON, DC 20020",DC,high
dc_450,"3999 8TH ST SE, WASHINGTON, DC 20032",DC,high
dc_451,"4 NEW YORK AVE NE, WASHINGTON, DC",DC,medium
dc_452,"400 7TH ST SW, WASHINGTON, DC 20590",DC,high
dc_453,"400 GALLOWAY ST NE, WASHINGTON, DC 20011",DC,high
dc_454,"400 NORTH CAPITOL ST NW, WASHINGTON, DC 20001",DC,high
dc_455,"400 RHODE ISLAND AVE NE, WASHINGTON, DC 20002",DC,high
dc_456,"4000 WISCONSIN AVE NW, WASHINGTON, DC 20016",DC,high
dc_457,"407 DELAFIELD PL NW, WASHINGTON, DC 20011",DC,high
dc_458,"410 E ST NE, WASHINGTON, DC 20002",DC,high
dc_459,"410 EASTERN AVE NE, WASHINGTON, DC 20019",DC,high
dc_460,"410 M ST SE, WASHINGTON, DC 20003",DC,high
dc_461,"4101 13TH PL NE, WASHINGTON, DC 20017",DC,high
dc_462,"4101 W ST NW, WASHINGTON, DC 20007",DC,high
dc_463,"4105 BRANDYWINE ST NW, WASHINGTON, DC 20016",DC,high
dc_464,"4140 GEORGIA AVE NW, WASHINGTON, DC 20011",DC,high
dc_465,"415 2ND ST NE, WASHINGTON, DC 20002",DC,high
dc_466,"415 L ST NW, WASHINGTON, DC 20001",DC,high
dc_467,"4161 SOUTH CAPITOL ST SW, WASHINGTON, DC 20032",DC,high
dc_468,"420 RHODE ISLAND AVE NW, WASHINGTON, DC 20001",DC,high
dc_469,"4200 CATHEDRAL AVE NW 00001, WASHINGTON, DC 20016",DC,high
dc_470,"4200 CONNECTICUT AVE NW, WASHINGTON, DC 20008",DC,high
dc_471,"4200 MASSACHUSETTS AVE NW, WASHINGTON, DC 20016",DC,high
dc_472,"4211 MATHEWSON DR NW, WASHINGTON, DC 20011",DC,high
dc_473,"4212 EAST CAPITOL ST NE, WASHINGTON, DC 20019",DC,high
dc_474,"424 19TH ST NE, WASHINGTON, DC 20002",DC,high
dc_475,"4240 MASSACHUSETTS AVE SE, WASHINGTON, DC 20019",DC,high
dc_476,"425 MASSACHUSETTS AVE NW, WASHINGTON, DC 20001",DC,high
dc_477,"4250 - 4256 EAST CAPITOL ST NE, WASHINGTON, DC 20019",DC,high
dc_478,"4250 CONNECTICUT AVE NW, WASHINGTON, DC 20008",DC,high
dc_479,"4254 EAST CAPITOL ST NE, WASHINGTON, DC 20019",DC,high
dc_480,"429 O ST NW, WASHINGTON, DC 20001",DC,high
dc_481,"430 E ST NE, WASHINGTON, DC 20002",DC,high
